127.0.0.1 - - [11/Aug/2022:08:32:53 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:52:55 +0545] "GET /Bug_Tracking_System/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:52:56 +0545] "GET /Bug_Tracking_System/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:53:19 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:53:19 +0545] "GET /Bug_Tracking_System/Images/TestTrack_Pro.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:53:19 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:53:20 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:54:23 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:54:23 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:57:21 +0545] "GET /Bug_Tracking_System/Login.html HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:57:22 +0545] "GET /Bug_Tracking_System/loginstyle.css HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:57:22 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:57:27 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:57:27 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 200 8299
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:57:27 +0545] "GET /Bug_Tracking_System/loginstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:58:16 +0545] "GET /Bug_Tracking_System/loginstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:58:16 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:58:42 +0545] "GET /Bug_Tracking_System/loginstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:58:42 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:00:39 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:00:39 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 200 7866
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:00:39 +0545] "GET /Bug_Tracking_System/loginstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:00:54 +0545] "GET /Bug_Tracking_System/Login?userid=admin&password=12345&login=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:00:55 +0545] "GET /Bug_Tracking_System/AdminHome.jsp HTTP/1.1" 200 3601
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:00:55 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:01:16 +0545] "GET /Bug_Tracking_System/AdminHome.jsp HTTP/1.1" 200 3601
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:01:16 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 200 8299
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:01:27 +0545] "GET /Bug_Tracking_System/Logout.jsp HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:01:27 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:01:29 +0545] "GET /Bug_Tracking_System/Home.jsp HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:01:29 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:01:29 +0545] "GET /Bug_Tracking_System/loginstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:01:40 +0545] "GET /Bug_Tracking_System/Login?userid=tester&password=tester&login=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:01:40 +0545] "GET /Bug_Tracking_System/TesterHome.jsp HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:01:40 +0545] "GET /Bug_Tracking_System/menu.css HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:01:44 +0545] "GET /Bug_Tracking_System/TesterHome.jsp?cat=Tester HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:02:30 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:02:30 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 200 8419
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:02:30 +0545] "GET /Bug_Tracking_System/loginstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:02:31 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:02:31 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:02:31 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:02:31 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:05:13 +0545] "GET /Bug_Tracking_System/Login?userid=admin&password=admin&login=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:05:13 +0545] "GET /Bug_Tracking_System/Home.jsp?msg=Check%20Your%20userid%20and%20password. HTTP/1.1" 200 3209
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:05:13 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 200 8430
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:05:13 +0545] "GET /Bug_Tracking_System/loginstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:05:38 +0545] "GET /Bug_Tracking_System/Login?userid=admin&password=admin&login=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:05:38 +0545] "GET /Bug_Tracking_System/Home.jsp?msg=Check%20Your%20userid%20and%20password. HTTP/1.1" 200 3209
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:05:38 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:10:52 +0545] "GET /Bug_Tracking_System/Login?userid=admin&password=12345&login=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:10:52 +0545] "GET /Bug_Tracking_System/AdminHome.jsp HTTP/1.1" 200 3601
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:10:52 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:11:25 +0545] "GET /Bug_Tracking_System/Logout.jsp HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:11:27 +0545] "GET /Bug_Tracking_System/Home.jsp HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:11:27 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:11:27 +0545] "GET /Bug_Tracking_System/loginstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:11:34 +0545] "GET /Bug_Tracking_System/Login?userid=admin&password=admin&login=Login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:12:15 +0545] "GET /Bug_Tracking_System/Login?userid=admin&password=12345&login=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:12:15 +0545] "GET /Bug_Tracking_System/AdminHome.jsp HTTP/1.1" 200 3601
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:12:15 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:12:17 +0545] "GET /Bug_Tracking_System/AddDepartment.jsp HTTP/1.1" 200 4529
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:12:20 +0545] "GET /Bug_Tracking_System/ViewDepartment.jsp HTTP/1.1" 200 5306
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:12:23 +0545] "GET /Bug_Tracking_System/UpdateDepartment.jsp HTTP/1.1" 200 5356
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:12:24 +0545] "GET /Bug_Tracking_System/AddDepartment.jsp HTTP/1.1" 200 4529
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:12:32 +0545] "GET /Bug_Tracking_System/UpdateEmployee.jsp HTTP/1.1" 200 10487
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:12:34 +0545] "GET /Bug_Tracking_System/UpdateEmployee1.jsp?ecode=12 HTTP/1.1" 200 3948
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:12:39 +0545] "POST /Bug_Tracking_System/UpdateEmp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:12:39 +0545] "GET /Bug_Tracking_System/UpdateEmployee.jsp HTTP/1.1" 200 10489
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:12:44 +0545] "GET /Bug_Tracking_System/UpdateEmployee1.jsp?ecode=12 HTTP/1.1" 200 3948
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:14:34 +0545] "GET /Bug_Tracking_System/UpdateEmployee1.jsp?ecode=12 HTTP/1.1" 200 4004
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:14:34 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:14:39 +0545] "POST /Bug_Tracking_System/UpdateEmp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:14:39 +0545] "GET /Bug_Tracking_System/UpdateEmployee.jsp HTTP/1.1" 200 10489
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:14:42 +0545] "GET /Bug_Tracking_System/UpdateEmployee.jsp HTTP/1.1" 200 10489
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:15:46 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:15:46 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:16:34 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4896
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:16:35 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4896
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:16:35 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4896
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:16:35 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4896
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:17:12 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4879
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:17:12 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:17:19 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4879
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:17:48 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4870
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:17:48 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4870
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:17:49 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4870
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:17:49 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4870
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:17:49 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4870
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:17:50 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4870
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:18:06 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4873
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:18:07 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4873
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:18:07 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4873
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:18:54 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 200 4869
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:18:54 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:19:08 +0545] "GET /Bug_Tracking_System/AddProject.jsp HTTP/1.1" 200 6590
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:19:08 +0545] "GET /Bug_Tracking_System/dateget.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:20:40 +0545] "GET /Bug_Tracking_System/AddProject.jsp HTTP/1.1" 200 6590
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:20:40 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 200 8430
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:20:52 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:22:18 +0545] "GET /Bug_Tracking_System/AddProject.jsp HTTP/1.1" 200 6590
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:22:18 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 200 8432
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:27:14 +0545] "GET /Bug_Tracking_System/ViewEmployee.jsp HTTP/1.1" 200 9159
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:27:14 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 200 8439
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:27:18 +0545] "GET /Bug_Tracking_System/UpdateEmployee.jsp HTTP/1.1" 200 10489
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:27:18 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:27:40 +0545] "GET /Bug_Tracking_System/AddDepartment.jsp HTTP/1.1" 200 4529
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:27:40 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:27:47 +0545] "GET /Bug_Tracking_System/AddProject.jsp HTTP/1.1" 200 6590
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:27:47 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:28:15 +0545] "GET /Bug_Tracking_System/AddProject.jsp HTTP/1.1" 200 6604
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:28:15 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:28:33 +0545] "GET /Bug_Tracking_System/AddProject.jsp HTTP/1.1" 200 6610
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:28:34 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:28:45 +0545] "GET /Bug_Tracking_System/AddProject.jsp HTTP/1.1" 200 6614
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:28:45 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:28:58 +0545] "GET /Bug_Tracking_System/images/next.gif HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:28:58 +0545] "GET /Bug_Tracking_System/images/prev.gif HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:29:00 +0545] "GET /Bug_Tracking_System/images/next.gif HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:29:00 +0545] "GET /Bug_Tracking_System/images/prev.gif HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:29:01 +0545] "GET /Bug_Tracking_System/images/prev.gif HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:29:01 +0545] "GET /Bug_Tracking_System/images/next.gif HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:29:23 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:29:53 +0545] "GET /Bug_Tracking_System/AddProject.jsp HTTP/1.1" 200 6614
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:29:53 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 200 8439
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:30:25 +0545] "GET /Bug_Tracking_System/AddProject.jsp HTTP/1.1" 200 6619
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:30:25 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:30:53 +0545] "GET /Bug_Tracking_System/AddProject.jsp HTTP/1.1" 200 6629
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:30:53 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:35:39 +0545] "GET /Bug_Tracking_System/AddProject.jsp HTTP/1.1" 200 6629
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:35:39 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 200 8586
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:35:41 +0545] "GET /Bug_Tracking_System/AddDepartment.jsp HTTP/1.1" 200 4523
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:36:02 +0545] "GET /Bug_Tracking_System/AddProject.jsp HTTP/1.1" 200 6612
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:36:02 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:36:16 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:37:10 +0545] "GET /Bug_Tracking_System/AddProject.jsp HTTP/1.1" 200 6612
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:37:10 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 200 8620
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:37:57 +0545] "GET /Bug_Tracking_System/AddProject.jsp HTTP/1.1" 200 6612
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:37:57 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 200 8620
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:38:09 +0545] "GET /Bug_Tracking_System/AddProject.jsp HTTP/1.1" 200 6612
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:38:09 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:38:13 +0545] "GET /Bug_Tracking_System/AddDepartment.jsp HTTP/1.1" 200 4523
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:38:13 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:38:19 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:38:27 +0545] "GET /Bug_Tracking_System/UpdateDepartment.jsp HTTP/1.1" 200 5356
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:38:27 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:39:27 +0545] "GET /Bug_Tracking_System/UpdateDepartment.jsp HTTP/1.1" 200 5341
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:39:27 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:39:47 +0545] "GET /Bug_Tracking_System/UpdateDepartment1.jsp?deptno=1 HTTP/1.1" 200 1572
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:40:30 +0545] "GET /Bug_Tracking_System/UpdateDepartment1.jsp?deptno=1 HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:40:31 +0545] "GET /Bug_Tracking_System/UpdateDepartment1.jsp?deptno=1 HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:41:03 +0545] "GET /Bug_Tracking_System/UpdateDepartment.jsp HTTP/1.1" 200 5341
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:41:03 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:41:04 +0545] "GET /Bug_Tracking_System/UpdateDepartment.jsp HTTP/1.1" 200 5341
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:41:04 +0545] "GET /Bug_Tracking_System/UpdateDepartment.jsp HTTP/1.1" 200 5341
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:41:05 +0545] "GET /Bug_Tracking_System/UpdateDepartment1.jsp?deptno=1 HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [11/Aug/2022:09:41:07 +0545] "GET /Bug_Tracking_System/UpdateDepartment1.jsp?deptno=1 HTTP/1.1" 200 1641
